state,date,M1,M2,M3,M4,V1,V2,V3,V4,D1,D2,D3,TR1,TR2,H1,H2,T1,T1a,T1b,T1c,T0,I1,E1,E1a,R1,Xa,Xb,cityname,abert20,abert21,primeira_aula,IEAD,mask,vent,dist,tran,higi,test,imun,aead,ISRAP
AC,13mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,14mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,15mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,16mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,17mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,18mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,19mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,20mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,21mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,22mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,23mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,24mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,25mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,26mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,27mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,28mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,29mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,30mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,31mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,01apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,02apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,03apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,04apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,05apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,06apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,07apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,08apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,09apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,10apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,11apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,12apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,13apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,14apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,15apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,16apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,17apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,18apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,19apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,20apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,21apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,22apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,23apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,24apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,25apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,26apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,27apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,28apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,29apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,30apr2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,01may2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,02may2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,03may2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,04may2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,05may2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,06may2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
