state,city,date,country,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
RO,Porto Velho,30apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,01may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,02may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,03may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,04may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,05may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,06may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,07may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,08may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,09may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,10may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,11may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,12may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,13may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,14may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,15may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,16may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,17may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,18may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,19may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,20may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,21may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,22may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,23may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,24may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,25may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,26may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,27may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,28may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,29may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,30may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,31may2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,01jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,02jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,03jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,04jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,05jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,06jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,07jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,08jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,09jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,10jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,11jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,12jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,13jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,14jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,15jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,16jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,17jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,18jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,19jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,20jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,21jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,22jun2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
