state,spatial_unit,date,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
MG,Belo Horizonte,14may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,15may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,16may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,17may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,18may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,19may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,20may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,21may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,22may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,23may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,24may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,25may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,26may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,27may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,28may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,29may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,30may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,31may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,01jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,02jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,03jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,04jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,05jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,06jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,07jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,08jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,09jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,10jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,11jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,12jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,13jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,14jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,15jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,16jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,17jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,18jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,19jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,20jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,21jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,22jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,23jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,24jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,25jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,26jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,27jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,28jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,29jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,30jun2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,01jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,02jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,03jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,04jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,05jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,06jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,07jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,08jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,09jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,10jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,11jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,12jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,13jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,14jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,15jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,16jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,17jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,18jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,19jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,20jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,21jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,22jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,23jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,24jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,25jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,26jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,27jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,28jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,29jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,30jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,31jul2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,01aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,02aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,03aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,04aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,05aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,06aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,07aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,08aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,09aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,10aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,11aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,12aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,13aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,14aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,15aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,16aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,17aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,18aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,19aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,20aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,21aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,22aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,23aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,24aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,25aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,26aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,27aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,28aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,29aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,30aug2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,31aug2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,01sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,02sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,03sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,04sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,05sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,06sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,07sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,08sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,09sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,10sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,11sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,12sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,13sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,14sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,15sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,16sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,17sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,18sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,19sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,20sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,21sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,22sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,23sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,24sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
MG,Belo Horizonte,25sep2020,3,1,0,0,0,0,2,1,4,1,0,0,3,1,45.833332
